0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,scene#11(img).png,scene#11(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#11.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,,,1,5,,,FALSE,FALSE,FALSE,1
12,scene#12(img).png,scene#12(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#12.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",자세히 살펴보러 다가간다.,지나온 중앙 통로로 도망친다.,,2,11,13,,FALSE,FALSE,FALSE,2
13,scene#13(img).png,scene#13(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#13.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",계속 도망친다.,맞서 싸운다.,,2,14,15,,FALSE,FALSE,FALSE,2
14,scene#14(img).png,scene#14(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#14.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,,,1,9,,,FALSE,FALSE,FALSE,1
15,scene#15(img).png,scene#15(choose).png,SHAKE,MainTheme.mp3,NORMAL,break.mp3,0:04,NORMAL,scene#15.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",엔진룸으로 향한다.,,,1,16,,,FALSE,FALSE,FALSE,1
16,scene#16(img).png,scene#16(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen,0:03,NORMAL,scene#16.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",엔진룸을 떠나 탈출포트로 향한다.,,,1,17,,,FALSE,FALSE,FALSE,1
17,scene#17(img).png,scene#17(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#17.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",환풍구를 통해 지나간다.,발 밑을 조심하며 복도를 걷는다.,,2,18,19,,FALSE,FALSE,FALSE,2
18,scene#18(img).png,scene#18(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#18.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,처음부터 다시 시작한다.,,2,13,4,,FALSE,FALSE,FALSE,2
19,scene#19(img).png,scene#19(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#19.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",침착하게 발을 떼내려 한다.,신발을 버리고 재빨리 뛴다.,,2,20,21,,FALSE,FALSE,FALSE,2
20,scene#20(img).png,scene#20(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#20.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,처음부터 다시 시작한다.,,2,17,4,,FALSE,FALSE,FALSE,2
21,scene#21(img).png,scene#21(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#21.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",통제실로 들어간다.,,,1,22,,,FALSE,FALSE,FALSE,1
22,scene#22(img).png,scene#22(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen,0:03,NORMAL,scene#22.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",통제실을 떠나 복도로 나간다,환풍구로 간다,,2,24,23,,FALSE,FALSE,FALSE,2
23,scene#23(img).png,scene#23(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#23.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,처음부터 다시 시작한다.,,2,19,4,,FALSE,FALSE,FALSE,2
24,scene#24(img).png,scene#24(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#24.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",통제실로 다시 돌아간다,,,1,25,,,FALSE,FALSE,FALSE,1
25,scene#25(img).png,scene#25(choose).png,NORMAL,MainTheme.mp3,NORMAL,knock,0:02,NORMAL,scene#25.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",정체 모를 이'를 통제실로 들인다,문을 열어선 안될 것 같다,,2,28,26,,FALSE,FALSE,FALSE,2
26,scene#26(img).png,scene#26(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#26.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",책상 밑으로 숨는다,의자 등 물건으로 문을 막아본다,,2,261,27,,FALSE,FALSE,FALSE,2
27,scene#27(img).png,scene#27(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#27.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,처음부터 다시 시작한다.,,2,25,4,,FALSE,FALSE,FALSE,2
28,scene#28(img).png,scene#28(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#28.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",놈들에게 맞서 싸운다.,탈출로를 모색한다.,,2,30,29,,FALSE,FALSE,FALSE,2
29,scene#29(img).png,scene#29(choose).png,NORMAL,horror2.mp3,NORMAL,horror.mp3,0:04,NORMAL,scene#29.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",다시 돌아가 선택할 수만 있다면..,처음부터 다시 시작한다.,,2,25,4,,FALSE,FALSE,FALSE,2
30,scene#30(img).png,scene#30(choose).png,SHAKE,MainTheme.mp3,NORMAL,break.mp3,0:04,NORMAL,scene#30.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",죽은 존을 애도하고 함교로 간다.,,,1,31,,,FALSE,FALSE,FALSE,1
31,scene#31(img).png,scene#31(choose).png,NORMAL,MainTheme.mp3,NORMAL,walking.mp3,0:09,NORMAL,scene#31.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",함장으로 보이는 시체를 조사한다.,켜져 있는 컴퓨터를 조사한다.,,1,,,,FALSE,FALSE,FALSE,0
32,scene#32(img).png,scene#32(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#32.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",이제 무기고로 향할 시간이다...,,,1,,,,FALSE,FALSE,TRUE,0
33,scene#33(img).png,scene#33(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#33.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",20600714,20600605,,2,34,35,,FALSE,FALSE,FALSE,2
34,scene#34(img).png,scene#34(choose).png,NORMAL,MainTheme.mp3,NORMAL,,,,scene#34.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",이제 무기고로 향할 시간이다...,,,1,36,,,TRUE,FALSE,FALSE,1
35,scene#35(img).png,scene#35(choose).png,NORMAL,MainTheme.mp3,NORMAL,running.mp3,0:06,NORMAL,scene#35.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",이제 무기고로 향할 시간이다...,,,1,36,,,FALSE,TRUE,FALSE,1
36,scene#36(img).png,scene#36(choose).png,NORMAL,MainTheme.mp3,NORMAL,gateopen,0:03,NORMAL,scene#36.txt,"2060년 환경오염과 기후위기로
최악의 상황에 몰린 지구는
하루 하루 다르게 메말라 간다.

소수의 특권층들은
안전한 삶을 영위하고 있지만
과학의 발전으로 인해
대부분의 노동자들은
'안드로이드'에게 일자리를 뺏기고
힘들게 살아 가고 있다.

노동 계급들에게 유일한 희망은
다른 행성으로 이주하여
새로운 삶을 찾을 수 있는
뉴 프론티어 프로젝트에
참여하는 것이다.

2060년 06월 05일
하루하루 일용직으로 연명해가던
'톰 블레이크'는 가까스로
프로젝트에 참여하게 된다.",화염 방사기를 선택한다,가우스 라이플을 선택한다,플레어를 선택한다,3,37,41,43,FALSE,FALSE,FALSE,3
